Date,Open,High,Low,Close,Adj Close,Volume
2010-07-12,44.580002,45.029999,44.459999,44.750000,39.786922,60927500
2010-07-13,45.139999,45.500000,44.799999,45.330002,40.302589,93310500
2010-07-14,45.419998,45.810001,45.240002,45.560001,40.507084,87687100
2010-07-15,45.470001,45.740002,44.990002,45.599998,40.542633,95992500
2010-07-16,45.439999,45.630001,44.299999,44.340000,39.422386,98831900
2010-07-19,44.470001,44.810001,44.099998,44.720001,39.760254,81800800
2010-07-20,44.000000,45.259998,43.860001,45.259998,40.240356,89061200
2010-07-21,45.740002,45.759998,44.560001,44.639999,39.689102,83577000
2010-07-22,45.270000,45.980000,45.240002,45.770000,40.693771,82890300
2010-07-23,45.459999,46.099998,45.380001,46.060001,40.951626,81056100
2010-07-26,46.119999,46.459999,45.910000,46.439999,41.289494,64850900
2010-07-27,46.639999,46.720001,46.209999,46.419998,41.271698,67655600
2010-07-28,46.369999,46.580002,45.880001,46.049999,40.942730,51988200
2010-07-29,46.320000,46.410000,45.250000,45.709999,40.640446,85669500
2010-07-30,45.330002,46.090000,45.070000,45.810001,40.729362,98958100
2010-08-02,46.389999,46.790001,46.209999,46.669998,41.493973,68706800
2010-08-03,46.639999,46.700001,46.250000,46.470001,41.316170,60856600
2010-08-04,46.680000,46.990002,46.500000,46.939999,41.734043,43820600
2010-08-05,46.709999,46.919998,46.520000,46.830002,41.636230,39150200
2010-08-06,46.320000,46.849998,46.049999,46.759998,41.573994,71339200
2010-08-09,47.000000,47.189999,46.790001,47.080002,41.858498,26927600
2010-08-10,46.700001,46.950001,46.279999,46.669998,41.493973,86694500
2010-08-11,45.900002,45.919998,45.209999,45.400002,40.364826,92219700
2010-08-12,44.529999,45.240002,44.450001,45.040001,40.044746,66000200
2010-08-13,44.869999,45.060001,44.709999,44.720001,39.760254,46387300
2010-08-16,44.500000,45.110001,44.299999,44.799999,39.831367,55472900
2010-08-17,45.119999,45.779999,45.029999,45.369999,40.338154,56927100
2010-08-18,45.279999,45.820000,45.110001,45.549999,40.498180,61835400
2010-08-19,45.279999,45.459999,44.560001,44.860001,39.884720,82969500
2010-08-20,44.790001,45.029999,44.540001,44.919998,39.938065,65806700
2010-08-23,45.200001,45.340000,44.459999,44.480000,39.546848,69612200
2010-08-24,43.970001,44.119999,43.470001,43.650002,38.808907,79095800
2010-08-25,43.340000,44.259998,43.270000,44.070000,39.182323,87247900
2010-08-26,44.220001,44.320000,43.500000,43.540001,38.711109,91199000
2010-08-27,43.860001,44.160000,42.970001,44.070000,39.182323,109568800
2010-08-30,43.860001,44.250000,43.599998,43.610001,38.773342,49373200
2010-08-31,43.380001,43.849998,43.180000,43.459999,38.639977,72066900
2010-09-01,44.099998,44.910000,44.070000,44.759998,39.795788,83523100
2010-09-02,44.840000,45.279999,44.730000,45.259998,40.240356,41816800
2010-09-03,45.759998,46.020000,45.549999,46.009998,40.907173,64041100
2010-09-07,45.820000,46.029999,45.630001,45.700001,40.631557,51195200
2010-09-08,45.830002,46.450001,45.820000,46.250000,41.120564,66879800
2010-09-09,46.660000,46.700001,46.320000,46.430000,41.280590,61476400
2010-09-10,46.480000,46.669998,46.250000,46.599998,41.431725,66995700
2010-09-13,46.959999,47.369999,46.939999,47.250000,42.009640,64523400
2010-09-14,47.189999,47.700001,47.080002,47.450001,42.187466,91405800
2010-09-15,47.330002,47.799999,47.189999,47.750000,42.454193,67108200
2010-09-16,47.660000,47.980000,47.540001,47.939999,42.623131,66885800
2010-09-17,48.139999,48.139999,47.750000,47.990002,42.767494,76372600
2010-09-20,48.169998,48.930000,48.110001,48.830002,43.516083,84475000
2010-09-21,48.860001,49.169998,48.610001,48.820000,43.507172,82272000
2010-09-22,48.619999,49.020000,48.419998,48.689999,43.391335,88315900
2010-09-23,48.369999,49.160000,48.320000,48.669998,43.373497,85040000
2010-09-24,49.220001,49.689999,49.150002,49.660000,44.255760,79495900
2010-09-27,49.630001,49.750000,49.349998,49.389999,44.015137,43859800
2010-09-28,49.509998,49.540001,48.590000,49.369999,43.997322,104922900
2010-09-29,49.299999,49.529999,49.110001,49.290001,43.926018,81679200
2010-09-30,49.540001,49.840000,48.750000,49.070000,43.729961,122458600
2010-10-01,49.480000,49.529999,48.779999,49.009998,43.676491,77675400
2010-10-04,48.869999,49.049999,48.200001,48.480000,43.204163,71359900
2010-10-05,49.029999,49.759998,49.000000,49.660000,44.255760,99301300
2010-10-06,49.599998,49.709999,48.910000,49.230000,43.872547,81831200
2010-10-07,49.509998,49.540001,49.000000,49.410000,44.032970,75693300
2010-10-08,49.430000,49.869999,49.080002,49.750000,44.335949,83223900
2010-10-11,49.779999,50.020000,49.619999,49.770000,44.353786,46880000
2010-10-12,49.689999,50.209999,49.259998,50.110001,44.656784,88571700
2010-10-13,50.430000,50.750000,50.279999,50.520000,45.022167,71122900
2010-10-14,50.549999,50.639999,50.169998,50.419998,44.933044,68464000
2010-10-15,51.040001,51.500000,50.630001,51.490002,45.886616,104654000
2010-10-18,51.500000,51.720001,51.299999,51.299999,45.717289,72399400
2010-10-19,50.820000,51.299999,50.419998,50.820000,45.289520,105739800
2010-10-20,50.959999,51.570000,50.869999,51.189999,45.619263,80861400
2010-10-21,51.509998,51.709999,50.790001,51.290001,45.708370,85885400
2010-10-22,51.299999,51.689999,51.209999,51.639999,46.020275,47406900
2010-10-25,51.849998,52.230000,51.849998,51.889999,46.243076,51413900
2010-10-26,51.630001,52.150002,51.419998,52.029999,46.367840,60498300
2010-10-27,51.759998,52.230000,51.660000,52.189999,46.510410,57483400
2010-10-28,52.410000,52.450001,51.840000,52.299999,46.608471,61220000
2010-10-29,52.299999,52.490002,52.169998,52.180000,46.501522,46668700
